year,co2conc,ch4conc,n2oconc,totforc
2326,355.64482,1257.2626,339.59023,1.4415214
2327,355.45642,1257.393,339.58438,1.4386981
2328,355.26133,1257.5275,339.57859,1.4357765
2329,355.05453,1257.6147,339.57285,1.4326447
2330,354.8391,1257.6277,339.56716,1.4293296
2331,354.62997,1257.6074,339.56152,1.4260853
2332,354.43449,1257.5825,339.55594,1.4230427
2333,354.25322,1257.577,339.5504,1.4202274
2334,354.08399,1257.6163,339.54492,1.4176247
2335,353.91923,1257.6996,339.53949,1.41512
2336,353.75033,1257.8077,339.5341,1.4125697
2337,353.57367,1257.929,339.52877,1.4099109
2338,353.38936,1258.0587,339.52348,1.4071416
2339,353.19838,1258.1927,339.51824,1.4042736
2340,352.99578,1258.2793,339.51305,1.4011955
2341,352.78464,1258.2917,339.5079,1.397935
2342,352.57981,1258.2709,339.50281,1.394746
2343,352.38859,1258.2454,339.49776,1.3917591
2344,352.21147,1258.2393,339.49275,1.388999
2345,352.04626,1258.278,339.48779,1.3864506
2346,351.88542,1258.3607,339.48288,1.383999
2347,351.72039,1258.4682,339.47801,1.3815006
2348,351.5476,1258.589,339.47318,1.3788929
2349,351.36717,1258.7181,339.4684,1.3761741
2350,351.18007,1258.8515,339.46366,1.3733562
2351,350.98144,1258.9376,339.45897,1.3703285
2352,350.77437,1258.9495,339.45432,1.3671192
2353,350.57364,1258.9281,339.44971,1.3639821
2354,350.38645,1258.9021,339.44514,1.3610474
2355,350.21326,1258.8954,339.44061,1.3583392
2356,350.05186,1258.9336,339.43613,1.3558419
2357,349.89473,1259.0158,339.43168,1.3534401
2358,349.73338,1259.1227,339.42728,1.3509904
2359,349.56425,1259.2429,339.42292,1.3484307
2360,349.38748,1259.3716,339.41859,1.3457593
2361,349.20408,1259.5045,339.41431,1.3429884
2362,349.00921,1259.59,339.41006,1.3400079
2363,348.80602,1259.6014,339.40585,1.3368468
2364,348.60917,1259.5795,339.40169,1.3337586
2365,348.42581,1259.553,339.39755,1.3308731
2366,348.25637,1259.5458,339.39346,1.3282139
2367,348.09859,1259.5835,339.38941,1.3257646
2368,347.94498,1259.6651,339.38539,1.3234097
2369,347.78711,1259.7715,339.3814,1.3210059
2370,347.62145,1259.8912,339.37746,1.3184912
2371,347.44817,1260.0194,339.37355,1.3158644
