"","GWPmin","GWP10","GWP25","GWPmed","GWP75","GWP90","GWPmax"
"discount1.045",241.036852610059,126.235885346007,88.5488409105431,67.8211225326007,50.8602282447003,40.7359287440546,35.9914088755193
"discount1.046",235.188055711545,122.325202888139,85.8961509740392,65.8973960527846,49.4794372607111,39.9040360583231,35.2324589217099
"discount1.047",229.395585492432,118.928429875849,83.4186923280434,63.9924096266044,48.2559952455735,39.109120249044,34.5081725628473
"discount1.048",223.673094588606,115.616393986845,81.0652830131254,62.1176066654681,47.0398724022828,38.3486712956018,33.8161338224536
"discount1.049",218.032647749073,111.920612105365,78.8332626078742,60.4230232010495,45.9659387869225,37.6204041478181,33.1541494738937
"discount1.05",212.484759584703,108.0096485902,76.4578127449336,59.0559269452782,44.9552212497279,36.922234537444,32.5202235825097
"discount1.051",207.038455121435,104.571107235297,74.1524518391883,57.5339188772437,43.9677702226746,36.252255558662,31.9125368377986
"discount1.052",201.701347750138,101.702093672545,71.9302154213846,56.0086420634437,42.9926244926615,35.6035535027774,31.3294255230575
"discount1.053",196.479729128117,98.97226122357,69.8971211534341,54.6679889777501,42.0455220673368,34.9622247563089,30.7693664776876
"discount1.054",191.378666725698,96.0284736438507,68.0987073893814,53.2015138230608,41.1623358065513,34.369821497565,30.2309620780718
"discount1.055",186.402105293483,92.9750333220754,66.253830025791,51.8609473223084,40.2968788220011,33.8066429824019,29.7129274798291
"discount1.056",181.552969675021,90.0772415896958,64.4715179787312,50.6232275830332,39.5377292198564,33.2519264650181,29.2140793915792
"discount1.057",176.833264414674,87.3521820522912,62.8343875021326,49.4146598054784,38.7577620095109,32.7150987851628,28.733326158592
"discount1.058",172.244173972908,84.8424527851299,61.3308671507346,48.3669997106437,38.0952625226297,32.1831094618958,28.269658989642
"discount1.059",167.786154302597,82.7445604279186,59.8666858490284,47.3653173708357,37.4591962541662,31.6738455611361,27.822144180108
"discount1.06",163.459021244221,80.8578879283244,58.5145483212939,46.3473223478028,36.8679017418741,31.1657238190719,27.389901007127
"discount1.061",159.262032379918,79.0307116210605,57.1951607623915,45.4497176009477,36.2515873501971,30.6741812644506,26.9722010517904
"discount1.062",155.193962655159,77.2691959190509,55.9245923109637,44.5738559206724,35.6495144783381,30.2143230496501,26.5681819704497
