Region,Site,Patch_id,Species,Patch_coord_lat,Patch_coord_lon,iso_18O_all,iso_13C_all,prod,bowen_18O_annual,bowen_18O_AprSep,bowen_18O_JanApr,bowen_18O_annual.w,bowen_18O_AprSep.w,bowen_18O_JanApr.w,HWT_end_season,elevation,avt,evap,precip,samp_year
Estonia (central),Männikjärve bog,3,S.fuscum,58.87583333,26.24722222,22.27067527,-28.04599225,308.4713376,-11.76919373,-9.856688023,-13.36753178,-11.62763305,-9.727582932,-13.46928416,34,81,15.0408620203333,477.27281921,353.01171037,2013
Estonia (NE),Seli bog,1,S.magellanicum,59.17055556,27.27388889,20.09552239,-28.29147113,363.6334041,-11.9087913,-9.956700961,-13.53629994,-11.60257768,-9.820403044,-13.58430884,27,58,15.0659525555,552.78740889,424.64325045,2013
Estonia (NE),Seli bog,3,S.magellanicum,59.17055556,27.27388889,,-28.23261269,383.8159943,-11.9087913,-9.956700961,-13.53629994,-11.60257768,-9.820403044,-13.58430884,22,58,15.0659525555,552.78740889,424.64325045,2013
Estonia (NE),Seli bog,1,S.fuscum,59.17055556,27.27388889,20.16119403,-31.4673536,91.3036093533333,-11.9087913,-9.956700961,-13.53629994,-11.60257768,-9.820403044,-13.58430884,45,58,15.0659525555,552.78740889,424.64325045,2013
Estonia (NE),Seli bog,3,S.fuscum,59.17055556,27.27388889,21.14681335,-29.23709973,218.451521593333,-11.9087913,-9.956700961,-13.53629994,-11.60257768,-9.820403044,-13.58430884,27,58,15.0659525555,552.78740889,424.64325045,2013
"Switzerland, Jura",Le Cachot,2,S.magellanicum,47.005658,6.665169,20.3401,-25.8575,184.3933803,-9.556801637,-7.927024047,-11.09428596,-9.369977231,-8.108072961,-10.96733388,30.8,1052,14.985228475,606.2892598,780.28808877,2014
"Switzerland, Jura",Le Cachot,4,S.magellanicum,47.005658,6.665169,21.7472,-29.3187,115.599322013333,-9.556801637,-7.927024047,-11.09428596,-9.369977231,-8.108072961,-10.96733388,21.5,1052,14.985228475,606.2892598,780.28808877,2014
"Switzerland, Jura",Le Cachot,2,S.fuscum,47.005658,6.665169,21.0366,-26.9457,166.16850191,-9.556801637,-7.927024047,-11.09428596,-9.369977231,-8.108072961,-10.96733388,26.8,1052,14.985228475,606.2892598,780.28808877,2014
"Switzerland, Jura",Le Cachot,4,S.fuscum,47.005658,6.665169,21.7462,-27.1188,232.33975661,-9.556801637,-7.927024047,-11.09428596,-9.369977231,-8.108072961,-10.96733388,24.5,1052,14.985228475,606.2892598,780.28808877,2014
"Switzerland, Jura",Etang de la Gruere,2,S.magellanicum,47.239622,7.049483,19.7685,-28.1409,484.04674115,-9.33416303,-7.741074403,-10.82912064,-9.149154303,-7.913586107,-10.70430008,19.5,1003,14.985228475,606.2892598,780.28808877,2014
"Switzerland, Jura",Etang de la Gruere,4,S.magellanicum,47.239622,7.049483,20.2372,-28.0676,203.859798233333,-9.33416303,-7.741074403,-10.82912064,-9.149154303,-7.913586107,-10.70430008,15.3,1003,14.985228475,606.2892598,780.28808877,2014
"Switzerland, Jura",Etang de la Gruere,3,S.fuscum,47.239622,7.049483,20.9347,-27.9826,200.640454725,-9.33416303,-7.741074403,-10.82912064,-9.149154303,-7.913586107,-10.70430008,27,1003,14.985228475,606.2892598,780.28808877,2014
Netherlands,Bargerveen,2,S.magellanicum,52.68564,7.024459,21.7741,-27.8511,451.27495765,-8.573320826,-7.40332675,-9.562483072,-8.534775368,-7.388589255,-9.706360467,20,152,16.5661102283333,516.3309289,429.76123009,2014
